Datensatz-ID,Unternehmensname,Domainname des Unternehmens,Stadt,Country,Adresszeile,Branche
49475301408,Vergas S.r.l.,vergasmetano.it,Capri Leone,Italy,Via Nazionale snc,Stromerzeugung
49452328981,Lg Impianti 2023,lgimpianti.eu,Montefino,Italy,Via RISORGIMENTO 38,
49301990069,Ap Reti Gas Nord Ovest S.p.a.,apretigasnordovest.it,Pieve di Soligo,Italy,Via VERIZZO 1030,
49475476857,Publireti S.r.l.,publireti.net,Atessa,Italy,Piazza Municipio 1,
49459890541,Multiservizi Lama S.r.l.,gaslama.it,Castel di Lama,Italy,Via CARRAFO 22,Verbraucherdienstleistungen
49447213604,V-Reti Gas S.r.l.,vretigas.it,Foligno,Italy,Viale PALOMBARO 13,
49313004889,Si Gas Distribuzione S.r.l.,sigasdistribuzione.it,Capo d'Orlando,Italy,Via Mancini 15,
49303999836,Energetica S.p.a.,italiaenergetica.com,Milano,Italy,Via Santa Maria Segreta 6,
49478354229,Reti Di. Voghera S.r.l.,retidivoghera.it,Voghera,Italy,Via Pozzoni 2,
49475486864,Goldengas,goldengas.it,Senigallia,Italy,Via Giordano Bruno 20/4,
49396200477,Agn Energia,agnenergia.com,Volpiano,Italy,Via AMALFI 6,
49306363806,Lereti S.p.a.,leretispa.it,Como,Italy,Via P. Stazzi 2,
49478875790,Novareti S.p.a.,novareti.eu,Rovereto,Italy,Via Manzoni 24,
49475512152,Societa' Distribuzione Gas E Servizi Monte Urano S.r.l.,monteuranoservizi.it,Monte Urano,Italy,Via L. SPAGNOLINI 7,
49475510961,Geneco S.r.l.,genecogroup.it,Roma,Italy,Viale Regina Margherita 302,
49475492767,Lenergie S.p.a.,lenergie.com,Montebello della Battaglia,Italy,Via Savonarola 28/30B,
49475489120,So.Ge.Gas In Liquidazione,,Fiumefreddo di Sicilia,Italy,Via G. MARCONI 36,
49475476146,Monti Azzurri Servizi Tecnologici,montiazzurriservizi.it,Belforte del Chienti,Italy,Via Carlo Urbani 9,
49475299084,Scg Gas S.p.a.,ecogasspa.it,Fidenza,Italy,Via Giorgio Perlasca 20/C,
49474469891,Cosvim Soc. Coop.,cosvimretegas.it,Potenza,Italy,Via del Seminario Maggiore 117,
49459040921,Ciannavei S.r.l.,ciannavei.biz,Ascoli Piceno,Italy,Via dell'Aspo 50,
49451685282,Cosev Servizi S.P.A,cosev.it,Nereto,Italy,Via VIA F. PETRARCA 6,
49402622040,A.S.Se.M. S.p.a.,assemspa.it,San Severino Marche,Italy,Località COLOTTO 11,
49360890708,Retipiù S.r.l.,retipiu.it,Desio,Italy,Via Giusti 38,
49300645718,Azienda Servizi Valtrompia S.p.a.,asvt-spa.it,Gardone Val Trompia,Italy,Via Mameli 2/R,
49479235136,Grosseto Energia Reti Gas S.p.a.,gergas.it,Grosseto,Italy,Via SMERALDO 20,
49479060865,Silca S.r.l.,silcapetroli.it,Terni,Italy,Via Cesare Battisti 176,
49479044647,Edma Reti Gas S.r.l.,edmaretigas.it,Ancona,Italy,Via TRIESTE 2,
49479040094,Comune Di Sannazzaro De' Burgondi,comune.sannazzarodeburgondi.pv.it,Sannazzaro de' Burgondi,Italy,Via Cavour 18,
49475506032,Valnerina Servizi S.C.P.A.,cms.valnerinaservizigas.it,Norcia,Italy,Via VESPASIA POLLA 1,
49475500729,Azienda Multiservizi Casalese S.p.a.,amcasale.it,Casale Monferrato,Italy,Via Orti 2,
49475470251,Metano Sant'Angelo Lodigiano S.p.a.,metano-santangelo.it,Sant'Angelo Lodigiano,Italy,Via Morzenti 22/A,Bergbau & Metalle
49475299083,Ascoli Reti Gas S.r.l.,ascoliretigas.it,Ascoli Piceno,Italy,Via Piceno Aprutina 114,
49474313035,Butan Gas S.p.a.,butangas.it,Milano,Italy,Via Larga 9/11,
49438370468,D.I.M. Gas S.r.l.,dimgas.com,Curtarolo,Italy,Via Luigi Einaudi 25,
49436999282,Metema Gestioni S.r.l.,metemagestioni.it,Camerino,Italy,Via LOCALITA' TORRE DEL PARCO SN,
49430769262,Sistemi Salerno - Reti Gas S.p.a.,retigas.grupposistemisalerno.it,Salerno,Italy,Via Stefano Passaro 1,
49423155745,Tisga S.r.l.,tisga.it,Guglionesi,Italy,Contrada MALECOSTE 1,
49414337897,Co.M.E.S.T. S.R.L,comestgas.it,Palermo,Italy,Via ENZO ED ELVIRA SELLERIO 19,
49379241862,Comune Di San Giuliano Di Puglia,comune.sangiulianodipuglia.cb.it,San Giuliano di Puglia,Italy,Largo PALAZZO MARCHESALE N.10 snc,
49351370509,Edyna S.r.l.,edyna.net,Bolzano/Bozen,Italy,Via Lungo Isarco Sinistro 45/A,
49453419076,Amgas S.p.a.,amgasfoggiaweb.it,Foggia,Italy,Via VIALE MANFREDI snc,
49460046478,Ultragas Tirrena S.p.a.,ultragastirrena.it,Roma,Italy,Via Sicilia 66,
49451685281,Valenza Rete Gas S.p.a.,valenzaretegas.it,Valenza,Italy,Strada Vecchia Pontecurone 1,
49441800082,Gp Infrastrutture S.r.l.,gpinfrastrutture.it,Milano,Italy,Viale Enrico Forlanini 17,Großhandel
49479226263,Società Impianti Metano S.r.l.,societaimpiantimetano.eu,Vaiano Cremasco,Italy,Via Nelson Mandela 1,
49475496466,Alto Garda Servizi S.p.a.,altogardaservizi.com,Riva del Garda,Italy,Via ARDARO 27,
49475491422,Aspm Soresina Servizi S.r.l.,solregina.it,Soresina,Italy,Via Cairoli 17,
49475486863,Seab - Servizi Energia Ambiente Bolzano S.p.a. / Seab - Energie- Umweltbetriebe Bozen A.G.,seab.bz.it,Bolzano/Bozen,Italy,Via LANCIA 4/A,
49475301407,Reti Distribuzione S.r.l.,retidistribuzione.it,Ivrea,Italy,Via Cappuccini 22/a,Stromerzeugung
49479056303,Erogasmet S.p.a.,erogasmet.it,Roncadelle,Italy,Via Vittorio Emanuele II 4/28,
49479048309,Multiservizi Azzanese S.U. A R.L. In Liquidazione,multiserviziazzanese.it,Azzano Decimo,Italy,Piazza Liberta' 1,
49475484514,Co.Ri.Me. Compagnia Ricerche Metano S.r.l.,corimesrl.it,Ravenna,Italy,Via GIOACCHINO RASPONI 11,Bergbau & Metalle
49475471455,Servizi Integrati Bellunesi S.p.a.,sibspa.it,Belluno,Italy,Via Tiziano Vecellio 27/29,
49433190225,Energas S.p.a. Filiale Di L'Aquila,energasq8.it,Napoli,Italy,Via Via D. Morelli 75,
49396200476,Inrete Distribuzione Energia,inretedistribuzione.it,Bologna,Italy,Viale Carlo Berti Pichat 2/4,
49303384428,Ireti Gas S.p.a.,iretigas.it,Parma,Italy,Strada SANTA MARGHERITA 6/A,
49479063077,Consorzio Simegas,consorziosimegas.com,Cefalù,Italy,Via DI BELGIOIOSO 4,Unternehmensberatung
49479049527,Trescore Infrastrutture S.r.l.,trescoreinfrastrutture.it,Trescore Balneario,Italy,Via Locatelli 65,
49478354228,So.Gas S.p.a.,sogasasti.it,Asti,Italy,Via VIA DEL LAVORO 23,
49478354227,"Consorzio Gestione Risorse Delle Valli Peligna, Subequana E Pescara S.r.l.",cogervap.it,Vittorito,Italy,Via Roma 2,
49475506031,Val Chisone Rete Gas,valchisoneretegas.com,Torino,Italy,Via BARDONECCHIA 5,
49475493960,Pedemontana Patrimonio E Servizi S.r.l.,pedemontanaservizi.it,Nove,Italy,Via PADRE ROBERTO DA NOVE 50,
49469589761,Gasman Distribuzione S.r.l.,gasmandistribuzione.it,Manfredonia,Italy,Viale MIRAMARE 39,
49447213603,Italimpianti S.r.l.,italimpiantiasti.it,Isola d'Asti,Italy,Via Valtiglione 31/Bis,
49442624129,A.S.S.M. S.p.a. - Tolentino,assm.it,Tolentino,Italy,Via Roma 36,
49436143920,Ebgas,ebgas.it,Forlì,Italy,Via Luigi Galvani 17/B,
49395340835,Fermo A.S.I.T.E. S.r.l.,asiteonline.it,Fermo,Italy,Via Mazzini 4,
49390939486,Reti S.r.l.,retisrl.it,Novi Ligure,Italy,Via Altiero Spinelli snc,
49371792643,Tecniconsul S.r.l. - Costruzioni E Gestioni,tecniconsul.it,Reggio nell'Emilia,Italy,Via VIA GANDHI 22,
49308061100,Sherden Gas Bacino 24 S.r.l.,sherdenenergia.it,Cagliari,Italy,Via RENZO FRAU 10,
49478354226,Metanprogetti,metanprogetti.it,Milano,Italy,Via CINO DEL DUCA 5,
49454070604,Azienda Servizi Territoriali S.r.l.,aziendaserviziterritoriali.com,Travagliato,Italy,Via Breda 18/A,Stromerzeugung
49453582424,Reti Metano Territorio S.r.l.,retimt.it,Alba,Italy,Via Vivaro 4/B,
49453319294,Asp - Azienda Servizi Polverigi S.r.l.,asppolverigi.it,Polverigi,Italy,Via VIA MARCONI 51,Gastgewerbe
49395340834,Sangrogest S.r.l.,sangrogest.it,Quadri,Italy,Via G.MARCONI 38,
49479042564,Reti Valtellina Valchiavenna S.r.l. Unipersonale,valtellinarevv.it,Sondrio,Italy,Via RAGAZZI DEL '99 19,
49468450604,Ultragas C.M. S.p.a.,ultragas.it,Roma,Italy,Via V. Sicilia 66,
49444702648,As Retigas S.r.l.,asretigas.it,Mirandola,Italy,Via Maestri del Lavoro 38,
49432031411,Bruno Reti Gas S.r.l.,brunoretigas.it,Catanzaro,Italy,Via POLA 10,
49478508309,Montelupone Arcalgas S.r.l.,monteluponearcalgas.it,Montelupone,Italy,Via Santa Caterina 22,
49475491421,Bragas S.r.l.,bragas.it,Bra,Italy,Via Piumati 169/A,
49475485749,Fin Consorzio,finconsorzio.com,Roma,Italy,Via SAVOIA 78,
49475299082,Marche Multiservizi S.p.a.,gruppomarchemultiservizi.it,Pesaro,Italy,Via DEI CANONICI 144,
49474635074,Giudicarie Gas S.p.a.,giudicariegas.it,Tione di Trento,Italy,Via STENICO 11,
49473735559,Verducci Distribuzione S.r.l.,verduccidistribuzione.eu,Notaresco,Italy,Via S.S. 553 PER ATRI -  KM. 13+400 -  ZONA INDUSTRIALE SNC,Öl & Energie
49439336372,Ap Reti Gas S.p.a.,apretigas.it,Pieve di Soligo,Italy,Via VERIZZO 1030,
49479226262,Pomilia Reti Gas S.r.l.,pomiliaretigas.it,Pomigliano d'Arco,Italy,Via CARMINE GUADAGNO 85,Supermärkte
49377325406,Sato Societa' A Responsabilita' Limitata,satoeurope.com,Ascoli Piceno,Italy,Via Via del Bozzolo -  Zona Ind.le Basso Marino snc,
49453916028,Gasman Sc,gasman.it,Manfredonia,Italy,Viale miramare 34,Stromerzeugung
49298638514,Prealpi Gas S.r.l.,prealpigas.it,Busto Arsizio,Italy,Via MARCO POLO 12,
49475508400,Societa' Metanodotti Valletanaro S.r.l.,societametanodottivalletanaro.it,Costigliole d'Asti,Italy,Via G.TESTORE 12,Großhandel
49454070603,Enilive S.p.a.,enilive.it,Roma,Italy,Via Giorgio Ribotta 51,
49475484513,Cbl Distribuzione S.r.l.,cbldistribuzionesrl.it,Mede,Italy,Via ANTONIO GRAMSCI 12,
49300645716,Unigas S.r.l.,cosev.it,Giulianova,Italy,Corso Zona Ind. Colleranesco n. 5 5,
49433190224,Comune Di Sona,comune.sona.vr.it,Sona,Italy,Piazza Roma 1,
49479059810,Sadori Reti S.r.l.,sadorireti.it,Senigallia,Italy,Via Lorenzo Lotto 10,
49475300243,Servizi & Impianti Reti Gas S.r.l.,,Lodi,Italy,Via D. BIANCARDI 18,
49453319293,A.E.S. Fano Distribuzione Gas S.r.l.,aesfanogas.it,Fano,Italy,Via Luigi Einaudi 1,
49447369057,S.I.Di.Gas S.p.a.,sidigas.it,Avellino,Italy,Via Ammaturo 124 15,Stromerzeugung
49444547759,Vigevano Distribuzione Gas S.r.l.,vigevanodistribuzionegas.it,Vigevano,Italy,Viale Petrarca 68,
49441954711,Condotte Nord S.p.a.,condottenord.it,Bergamo,Italy,Via FORO BOARIO 3,Bau
49452171285,Ba.Se. S.r.l.,bagheriaservizi.com,Forlì,Italy,Via L. Galvani 17/B,
49306205991,Mediterranea Energia Ambiente S.P.A (In Sigla Medea S.P.A),medeagas.it,Sassari,Italy,Via Torres 4,
49479058564,Melegnano Energia Ambiente S.p.a.,measpa.it,Melegnano,Italy,Via Sandro Pertini 11,
49479050552,Colsam S.r.l.,colsam.it,Sondrio,Italy,Via Ventina 5,
49475500728,Server S.r.l.,server-verola.it,Verolanuova,Italy,Piazza LIBERTA' 39,Informationstechnologie & Dienstleistungen
49475476855,Adrigas,adrigas.it,Rimini,Italy,Via Chiabrera 34/G,
49475295567,Autogas Riviera S.r.l.,gruppoautogas.com,Taggia,Italy,REGIONE LICHEO SNC,
49452328980,Basengas S.r.l.,basengassrl.it,Pisticci,Italy,Via Padova -  Marconia 1,Stromerzeugung
49441180956,Ned Reti Distribuzione Gas S.r.l.,nedweb.it,Rho,Italy,Viale De Gasperi 113/115,
49435974406,Assisi Gestioni Servizi S.r.l.,assisigestioniservizi.it,Assisi,Italy,Via C/O Casa Municipale snc,
49399142709,A.G.Re. S.p.a.,agrespa.it,Pero,Italy,Via OLONA 28,
49302304948,Comune Di Scerni,comunediscerni.com,Scerni,Italy,Via IV° NOVEMBRE 18,
49479226261,Vent S.r.l.,ventsrl.it,Amelia,Italy,Via Studiosi 18,
49475295566,M.D.G. Metanifera Di Gavirate S.r.l.,mdg.it,Gavirate,Italy,Via DELLO SPORT 15,
49453916027,Tenna Retigas S.r.l.,tennaretigas.it,Fermo,Italy,Via Medaglie D'oro 124,
49479221400,A.S.M. Codogno S.r.l.,asmcodogno.it,Codogno,Italy,Viale TRIESTE 66,
49479056302,Cgm Distribuzione S.r.l.,cgmdistribuzione.it,Atella,Italy,Via Delle Magnolie n.83,Großhandel
49469589760,Julia Rete Societa' Unipersonale,juliarete.it,Giulianova,Italy,Corso GARIBALDI 119,
49435655777,S.G.M. Distribuzione Pavese S.r.l.,sgmmetano.it,Meda,Italy,Viale BRIANZA 99,
49479065450,Sgds Multiservizi S.r.l.,sangiorgioservizi.it,Porto San Giorgio,Italy,Via Largo Carducci 8,
49479044646,A.S.Ga Azienda Servizi Gaggiano S.r.l.,asga.it,Gaggiano,Italy,Via VIA ROMA 36,
49475504505,Liguria Gas S.r.l.,liguria-gas.com,Cairo Montenotte,Italy,Via DELLA RESISTENZA 34,Öl & Energie
49475308365,Catania Rete Gas S.p.a.,cataniaretegas.it,Catania,Italy,Via CRISTOFORO COLOMBO 150,Bergbau & Metalle
49478032192,Beyfin S.p.a. Società Benefit,beyfin.it,Campi Bisenzio,Italy,Via VINGONE 94,
49475512151,Camastragas S.r.l.,camastraretegas.it,Salandra,Italy,Piazza San Rocco 5,
49454070602,Amag Reti Gas S.p.a.,amagretigas.it,Alessandria,Italy,Via Damiano Chiesa 18,
49440377195,Citigas Societa' Cooperativa S.p.a.,citigas.it,Giulianova,Italy,Zona Industriale Artigianale Frazione Colleranesco Snc,
49477211137,Calor Systems S.r.l.,calorsystems.it,Azzano San Paolo,Italy,Via Bergamo 44,Chemieindustrie
49468613953,Südtirolgas S.p.a.,suedtirolgas.it,Bolzano/Bozen,Italy,Via Josef Ressel 2,Bergbau & Metalle
49459737114,V-Reti S.p.a.,v-reti.it,Vicenza,Italy,Contrà Pedemuro San Biagio 72,
49479221401,Atac Civitanova S.p.a.,atac-civitanova.it,Civitanova Marche,Italy,Via DEL CASONE 30,
49431082319,Amg Energia S.p.a.,amgenergia.it,Palermo,Italy,Via TIRO A SEGNO 5,
49370825797,Sogip S.r.l.,sogip.it,Acireale,Italy,Via San Francesco di Paola 21,
49475493959,Mediterranea Energia,mediterraneaenergia.net,Forlì,Italy,Via Luigi Galvani 17/B,
49475470250,Pollino Gestione Impianti S.r.l.,pollinogestioneimpianti.it,Castrovillari,Italy,Via MULETTA ZONA PIP SNC,
49475300242,Azienda Municipale Gas S.p.a.,retegasbari.it,Bari,Italy,Viale Biagio Accolti Gil Z.I. 9,
49454228399,M Reti S.p.a.,mreti.it,Marcianise,Italy,Via XXV Aprile 57,
49475508399,Aemme Linea Distribuzione S.r.l.,aemmelineadistribuzione.it,Abbiategrasso,Italy,Via Viale Carlo Cattaneo 45,
49475479459,Ses Reti S.p.a.,sesreti.it,Milano,Italy,Via FRATELLI RUFFINI 3,
49475311918,Rete Morenica S.r.l.,retemorenica.it,Villafranca di Verona,Italy,Via VIALE DEI CIPRESSI 2,Bergbau & Metalle
49442450066,Ap Reti Gas North,apretigasnorth.it,Pieve di Soligo,Italy,Via Verizzo 1030,
49455577772,Crisgas S.r.l.,crisgas.it,Lavis,Italy,Via G. di Vittorio 3,
49447369056,Gigas Rete S.r.l.,gigasrete.it,Lodi,Italy,Via Carducci 2,
49424149376,Acegasapsamga S.p.a.,acegasapsamga.it,Trieste,Italy,Via del Teatro 5,
49371792642,Sherden Gas Bacino 31 S.r.l.,sherdenenergia.it,Cagliari,Italy,Via Renzo Frau 10,
49478516021,Ch4 Lizzano S.r.l.,ch4lizzano.it,Lizzano in Belvedere,Italy,Via III Novembre 51,Öl & Energie
49475493958,Carecina Gas S.r.l.,carecina.it,Torricella Peligna,Italy,Viale Raffaele Paolucci 3,
49479050551,Societa' Intercomunale Gas S.p.a.,sigspa.com,Penne,Italy,Viale RINGA 84,
49475491420,Valtellina Gas S.r.l.,commercialepaganoni.it,Sondrio,Italy,Via VANONI 104,
49454228398,Terzigno Gas,terzignogas.it,Forlì,Italy,Via Luigi Galvani 17/B,
49447690539,Blu Reti Gas,blureti.it,Darfo Boario Terme,Italy,Via Mario Rigamonti 65,
49447369055,Gabogas S.p.a.,gabogas.it,Vobarno,Italy,Località Via Provinciale 58c,
49365765650,Sgl Multiservizi,sglmultiservizi.it,San Giovanni Lupatoto,Italy,Via San Sebastiano 6 int. 2,
49300645715,Amiternum Servizi S.r.l.,amiternumservizi.it,Scoppito,Italy,Viale Aldo Moro 8,
49479067042,Amalfitana Gas S.r.l.,amalfitanagas.it,Salerno,Italy,Via SAN LEONARDO traversa Migliaro 120,
49479048308,Sei Servizi Energetici Integrati S.r.l.,seimantova.it,Mantova,Italy,Via Taliercio 3,Stromerzeugung
49465978400,Acquambiente Marche S.r.l.,acquambientemarche.it,Castelfidardo,Italy,Via Recanatese 27/i,
49414337896,Bitrigas S.r.l.,bitrigas.it,Biccari,Italy,Piazza MUNICIPIO 1,
49479063076,Distribuzione Gas Naturale S.r.l.,dgn-net.it,Pinerolo,Italy,Via Vigone 42,Stromerzeugung
49478700696,Metagas S.r.l.,,Battipaglia,Italy,Via PRIMO BARATTA 24,
49475512150,Interlaga S.r.l.,interlaga.it,Torricella Sicura,Italy,Via GIORGIO ROMANI SNC,
49475479460,Uniservizi S.p.a.,uniservizispa.it,San Bonifacio,Italy,Via VIA L. PIRANDELLO 3/N 3/N,
49475479458,Agsm Aim S.p.a.,agsmaim.it,Verona,Italy,Via LUNGADIGE GALTAROSSA 8,
49475299081,Metanodotti Del Friuli,metanodotti.net,Tricesimo,Italy,Via Gallerio 4,Stromerzeugung
49453582423,Comune Di Pieve Santo Stefano,pievesantostefano.net,Pieve Santo Stefano,Italy,Piazza PLINIO PELLEGRINI 1,
49430769261,Sviluppo Energia,sviluppoenergiaspa.it,Castrovillari,Italy,Viale UMBERTO CALDORA 23,
49424149375,Angizia Multiservices S.r.l.,angiziamultiservices.it,Luco dei Marsi,Italy,Via Pietro Mascagni 11,
49399454859,Sg Distribuzione S.r.l.,sgdistribuzione.info,Fidenza,Italy,Via GIORGIO PERLASCA 20/C,
49396823979,Centro Servizi Di Paris Luigi,apigascelano.com,Aielli,Italy,Località La Stanga snc,
49395340833,Astea S.p.a.,asteaspa.it,Recanati,Italy,"Via L. GIGLI, 2",
49298020913,Badano Gas S.r.l.,gruppobadano.com,Giustenice,Italy,Località Cà di Lodi snc,
49455748643,C.O.Gas S.r.l.,cogas.net,Ortona,Italy,Zona Industriale Contrada cucullo snc,
49477392403,Alpha Gas S.r.l.,alphagasbadano.it,Vado Ligure,Italy,Via Piave 33,
49475498348,Umbria Distribuzione Gas S.p.a.,umbriadistribuzionegas.it,Terni,Italy,Via Bruno Capponi 100,
49475485748,Adistribuzionegas S.r.l.,adistribuzionegas.it,Forlì,Italy,Via Luigi Galvani 17/A,
49391931416,Centria,centria.it,Arezzo,Italy,Via Igino Cocchi 14,
49377325405,E.T. Energia E Territorio Servizi Tecnologici S.r.l.,etservizitecnologici.it,Maiolati Spontini,Italy,Via Via Ancona - Moie 57,Maschinenbau oder Industrietechnik
49478196737,Unareti S.p.a.,unareti.it,Brescia,Italy,Via Lamarmora 230,
49475314360,Italgas Reti S.p.a.,italgas.it,Torino,Italy,Largo Regio Parco 11,
49454388637,Toscana Energia S.p.a.,toscanaenergia.eu,Firenze,Italy,Piazza Enrico Mattei 3,
49396043897,Vus Gpl S.r.l.,vus.it,Foligno,Italy,Via Viale IV novembre 20,
49370825796,Gestione Servizi Comunali S.r.l. In Forma Abbreviata Ge.S.Com. S.r.l.,gescomsrl.it,Bisaccia,Italy,Via Rodari 1,
49472658861,Lunigas I.F.S.p.a.,lunigas.it,Fosdinovo,Italy,Via Aurelia 44,
49446532230,Servizi Distribuzione S.r.l.,servizidistribuzione.it,Spinetoli,Italy,Piazza KENNEDY 5,
49447369054,Martesana Reti S.r.l.,martesanareti.it,Melzo,Italy,Via Martiri della Libertà 18,
49399142708,Cilento Reti Gas S.r.l.,cilentoretigas.it,Acquaviva delle Fonti,Italy,Via Sardegna -  Zona Industriale s.n.,Maschinenbau oder Industrietechnik
49394073688,Metaedil S.r.l.,metaedil.it,Avellino,Italy,Via Francesco Tedesco 61,Maschinenbau
49371792641,A.S.A. - Azienda Servizi Ambientali S.p.a.,asaspa.it,Livorno,Italy,Via del Gazometro 9,
49479048307,Petrolgas S.r.l.,petrolgassrl.it,Maiolati Spontini,Italy,Via Clementina nord 118,Öl & Energie
49475482297,Azienda Servizi Intercomunali Multiservices S.r.l.,asimultiservices.it,Umbertide,Italy,Via Piazza Matteotti 1,
49440801619,Gesam Reti S.p.a.,gesam.it,Lucca,Italy,Via NOTTOLINI 34,
49479049526,Coop. Pomilia Gas S.C.R.L.,pomiliagas.it,Pomigliano d'Arco,Italy,Via CARMINE GUADAGNO 85,
49475313180,Entar S.r.l.,entar.it,Zocca,Italy,Via MAURO TESI 963,
49308061099,G.E.I. Gestione Energetica Impianti S.p.a.,geispa.it,Crema,Italy,Via S. Chiara 9,
49475491419,Acqui Rete Gas S.r.l.,acquiretegas.it,Alba,Italy,Via VIVARO 4/B,
49475503279,Ranton S.r.l.,ranton.it,Pescara,Italy,Via Trieste 88,
49475473437,Protos S.r.l.,protos.it,Fermo,Italy,Via Vecchiotti 20,
49440377194,Ausa Multiservizi S.r.l.,cervignanodelfriuli.net,Cervignano del Friuli,Italy,Via Trieste 52,
49423155743,Caronno Pertusella Servizi S.r.l. Unipersonale,cpserv.it,Caronno Pertusella,Italy,Piazza VITTORIO VENETO 6,
49306205990,Amea S.p.a.,amea.it,Paliano,Italy,Viale San Francesco d'Assisi 15/C,
49479067041,Asm Vercelli S.p.a.,asmvercelli.it,Vercelli,Italy,Corso PALESTRO 130,
49475499796,Broni-Stradella Pubblica S.r.l.,bronistradellapubblica.it,Stradella,Italy,Via NAZIONALE 53,
49420784421,Olivi S.p.a.,olivispa.com,Panicale,Italy,Via LEONARDO DA VINCI 19,
49371792640,Molise Gestioni S.r.l.,molisegestioni.it,Roncadelle,Italy,Via Vittorio Emanuele II 4/28,
49475486862,Liquigas S.p.a.,liquigas.it,Brescia,Italy,Corso Zanardelli 32,
49441954710,Toscogas S.p.a.,toscogas.it,Altopascio,Italy,Via Località Ponte alla Ciliegia 14,
49433190222,Soldo Francesco S.r.l.,soldofrancescoretegas.it,Salandra,Italy,Piazza San Rocco 5,
42521036647,Società Gasdotti Italia,sgispa.com,,Italy,,
30092336666,Italgas Reti S.p.A.,italgas.it,Torino,Italy,Corso Regina Margherita 165,
35252382631,Snam,snam.it,Milano,Italy,"Piazza Santa Barbara, 7",